 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 |
 | JET_JER_EffectiveNP_10 | 9.95156e-05 / -9.95144e-05 | -0.00695611 / 0.00695577 | -0.00102134 / 0.00102135 | -0.000642225 / 0.00064224 | -0.0064758 / 0.00647549 | -0.0764585 / 0.0764156 | -0.0118749 / 0.0118739 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -2.49123e-06 / 2.4925e-06 | -0.00616195 / 0.00616171 | -0.000381135 / 0.000381148 | 0.00154938 / -0.00154938 | -0.00193914 / 0.00193911 | 0.0623059 / -0.0623321 | 0.00933737 / -0.00933795 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -4.65467e-05 / 4.65479e-05 | 0.00697073 / -0.0069711 | -0.00134648 / 0.00134648 | -0.000935313 / 0.000935324 | 0.0122453 / -0.0122465 | 0.0763808 / -0.0764263 | 0.0088976 / -0.00889827 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -1.97642e-05 / 1.97655e-05 | -0.00114036 / 0.00114037 | -0.0033699 / 0.00336983 | 0.00327772 / -0.00327777 | -0.00644903 / 0.00644874 | -0.0773579 / 0.0773176 | 0.0178006 / -0.0178027 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 1.18354e-05 / -1.18341e-05 | 0.00187845 / -0.00187846 | 0.00169925 / -0.00169925 | 0.00524623 / -0.00524643 | 0.000606024 / -0.00060603 | 0.0696741 / -0.0697111 | 0.00124133 / -0.00124133 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 2.90215e-06 / -2.90088e-06 | -0.000382204 / 0.000382218 | 0.000559556 / -0.000559544 | 0.00161316 / -0.00161316 | 0.000973552 / -0.000973562 | 0.000352318 / -0.000352274 | 0.00213596 / -0.00213597 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0102721 / -0.0102728 | 0.0197641 / -0.0197669 | 0.00931123 / -0.00931181 | 0 / 0 | 0.0277277 / -0.027733 | 0.0193044 / -0.019307 | 0.0137917 / -0.0137931 | 0 / 0 |
 | JET_Pileup_OffsetMu | -1.49128e-05 / 1.49141e-05 | 0.0016682 / -0.00166821 | 0.00137992 / -0.00137992 | 0.00267431 / -0.00267434 | 0.000754903 / -0.00075491 | 0.0692019 / -0.0692354 | 0.00219341 / -0.00219343 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.000126819 / -0.000126818 | 0.00412895 / -0.00412916 | 0.00172309 / -0.00172322 | 0.00541903 / -0.00541927 | -0.00189322 / 0.00189318 | 0.0690688 / -0.0691112 | 0.00587503 / -0.00587532 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.000109799 / -0.000109798 | 0.00836632 / -0.00836755 | 0.000299726 / -0.000299829 | 0.00118652 / -0.00118664 | -0.000331177 / 0.000331171 | 0.0686681 / -0.0687479 | 0.00372474 / -0.00372496 | 0 / 0 |
 | JET_Pileup_RhoTopology | 3.63272e-06 / -3.63146e-06 | 0.00447407 / -0.00447431 | 0.00286216 / -0.00286225 | 0.00537918 / -0.00537952 | -0.000946368 / 0.000946353 | 0.0693345 / -0.0693942 | 0.00587591 / -0.00587632 | 0 / 0 |
 | JET_SingleParticle_HighPt | -3.35028e-08 / -3.35028e-08 | 0.000187135 / -0.000187121 | 0.000109715 / -0.000109701 | -0.000314236 / 0.000314253 | -1.94664e-07 / 1.90782e-07 | -3.22894e-06 / 3.20891e-06 | -9.03029e-06 / 9.04672e-06 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.33409 / 0.330018 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | -0.250546 / 0.249515 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.0294441 / 0.0294382 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0 / 0 | 0.0174882 / -0.0174903 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0 / 0 | 0.0409635 / -0.0409812 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.279139 / 0.279677 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | 0 / 0 | -0.129258 / 0.129245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.0429296 / 0.0429175 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0 / 0 | 0.00168411 / -0.00168413 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0 / 0 | 0.0454432 / -0.0454573 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | fakes stat. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.117796 / -0.119468 |
 | fakes syst. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.142116 / -0.147315 |
 | gamma_stat_Signal_bin_0 | 0.000157018 / -0.000157018 | 0.0259099 / -0.0259099 | 0.0265132 / -0.0265132 | 0.0256413 / -0.0256413 | 0.0241491 / -0.0241491 | 0.0276873 / -0.0276873 | 0.0250837 / -0.0250837 | 0.0238664 / -0.0238664 |
 | gamma_stat_Signal_bin_1 | 0.000802052 / -0.000802052 | 0.00160652 / -0.00160652 | 0.00103254 / -0.00103254 | 0.00186298 / -0.00186298 | 0.00365378 / -0.00365378 | 6.2175e-08 / -6.2175e-08 | 0.00199972 / -0.00199972 | 0.00346231 / -0.00346231 |
 | gamma_stat_Signal_bin_2 | 0.00219105 / -0.00219105 | 9.44773e-05 / -9.44773e-05 | 6.63442e-05 / -6.63442e-05 | 0.00010787 / -0.00010787 | 2.13043e-09 / -2.13043e-09 | 2.84665e-08 / -2.84665e-08 | 0.000315214 / -0.000315214 | 0.000196684 / -0.000196684 |
 | gamma_stat_Signal_bin_3 | 0.00485734 / -0.00485734 | 4.82077e-06 / -4.82077e-06 | 7.45759e-06 / -7.45759e-06 | 3.03973e-06 / -3.03973e-06 | 9.89544e-10 / -9.89544e-10 | 1.32221e-08 / -1.32221e-08 | 1.10826e-07 / -1.10826e-07 | 1.14415e-05 / -1.14415e-05 |
 | #mu_{signal strength} | 0.10006 / -0.0847951 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{W+jets} | 0 / 0 | 0.31516 / -0.31516 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{Z+jets} | 0 / 0 | 0 / 0 | 0.384759 / -0.384759 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
