 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_JESUnc_Noise_PreRec | 0.00750907 / -0.0075095 | 0.0032836 / -0.00328368 | 0.00361176 / -0.00361186 | 0.00576289 / -0.00576314 | 0.00690832 / -0.00690868 | 0.00629639 / -0.00629669 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00299643 / -0.0029965 | -0.00347647 / 0.00347639 | 0.00192158 / -0.0019216 | 0.00104774 / -0.00104775 | 0.00492882 / -0.00492898 | 0.0037682 / -0.00376829 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0165201 / -0.016522 | 0.0190015 / -0.0190041 | 0.0190829 / -0.0190854 | 0.029444 / -0.02945 | 0.0240855 / -0.0240895 | 0.0322093 / -0.0322165 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00798663 / -0.00798708 | 0.018365 / -0.0183674 | 0.00508012 / -0.0050803 | 0.00454195 / -0.00454209 | 0.00393292 / -0.00393303 | 0.00585422 / -0.00585446 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0133635 / -0.013365 | 0.0110121 / -0.0110131 | 0.00637718 / -0.00637755 | 0.00801878 / -0.00801935 | 0.0100973 / -0.0100982 | 0.00947417 / -0.00947496 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.0175556 / -0.0175608 | 0.0147252 / -0.0147288 | 0.00823862 / -0.00823977 | 0.0145995 / -0.0146031 | 0.0130581 / -0.013061 | 0.0161269 / -0.0161313 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00933208 / -0.00933316 | 0.00400883 / -0.00400902 | 0.00469011 / -0.00469038 | 0.0057469 / -0.00574731 | 0.00670616 / -0.00670672 | 0.00688357 / -0.00688416 | 0 / 0 |
 | JET_SingleParticle_HighPt | 1.92318e-07 / -1.92318e-07 | 1.02941e-06 / -1.02941e-06 | 4.21378e-06 / -4.21378e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.217673 / 0.215957 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.178437 / 0.177916 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0209813 / 0.0209783 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0111347 / -0.0111355 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | -0.00202826 / 0.00202822 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.212491 / 0.212801 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.178693 / 0.178669 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0268333 / 0.0268286 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0140191 / -0.0140204 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.00197002 / -0.00197005 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00361799 / -0.00361799 | 0.00361799 / -0.00361799 | 0.00361799 / -0.00361799 | 0.00361799 / -0.00361799 | 0.00361799 / -0.00361799 | 0.00361799 / -0.00361799 | 0.00361799 / -0.00361799 |
 | #mu_{W+jets} | 0.31516 / -0.31516 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
