 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_Pileup_PtTerm | 0.01403 / -0.0140333 | 0.00516818 / -0.00516863 | 0.00778792 / -0.00778895 | 0.0131267 / -0.0131296 | 0.0312786 / -0.0312952 | -0.00341102 / 0.00341083 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.0120196 / -0.0120213 | -0.00631472 / 0.00631423 | 0.00401536 / -0.00401556 | 0.00343332 / -0.00343347 | 0.0341585 / -0.034173 | 0.0216844 / -0.0216902 | 0 / 0 |
 | JET_SingleParticle_HighPt | 7.38774e-05 / -7.38774e-05 | 1.9646e-05 / -1.9646e-05 | 9.69987e-05 / -9.69988e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.255409 / 0.253042 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.196086 / 0.195457 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0295658 / 0.0295598 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.00225561 / -0.00225565 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0144781 / -0.0144803 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.443723 / 0.445113 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.243162 / 0.243118 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0697427 / 0.0697108 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0238364 / -0.0238402 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0529136 / -0.0529327 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_VR_bin_0 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 |
 | #mu_{W+jets} | 0.31516 / -0.31516 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
