 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_Pileup_OffsetMu | -0.00341237 / 0.00341237 | 0.00269811 / -0.00269811 | 0.00168514 / -0.00168514 | 0.00297673 / -0.00297673 | 0.00461644 / -0.00461644 | 0.0044603 / -0.0044603 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.00682085 / 0.00682085 | 0.00530115 / -0.00530115 | 0.00333358 / -0.00333358 | 0.00474839 / -0.00474839 | 0.00382412 / -0.00382412 | 0.00592295 / -0.00592295 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00613071 / -0.00613071 | 0.00696229 / -0.00696229 | 0.00418033 / -0.00418033 | 0.00547465 / -0.00547465 | -0.00554255 / 0.00554255 | 0.00567206 / -0.00567206 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.00508036 / 0.00508036 | 0.00358227 / -0.00358227 | 0.00195605 / -0.00195605 | 0.00372452 / -0.00372452 | 0.00927035 / -0.00927035 | 0.00463879 / -0.00463879 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | -1.58491e-07 / 1.58491e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.48605 / 0.48605 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.387155 / 0.387155 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0722574 / 0.0722574 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0272998 / -0.0272998 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0198346 / -0.0198346 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.30914 / 0.30914 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.223129 / 0.223129 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0341757 / 0.0341757 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0153043 / -0.0153043 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.00120373 / 0.00120373 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Zjets_CR_bin_0 | 0.00220625 / -0.00220625 | 0.00220625 / -0.00220625 | 0.00220625 / -0.00220625 | 0.00220625 / -0.00220625 | 0.00220625 / -0.00220625 | 0.00220625 / -0.00220625 | 0.00220625 / -0.00220625 |
