 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | gamma_stat_Wjets_CR_bin_5 | 0.000886537 / -0.000886537 | 0.000869764 / -0.000869764 | 0.000914827 / -0.000914827 | 0.000839048 / -0.000839048 | 0.000846421 / -0.000846421 | 0.00088532 / -0.00088532 | 0.00103958 / -0.00103958 |
 | gamma_stat_Wjets_CR_bin_6 | 0.000803182 / -0.000803182 | 0.000818433 / -0.000818433 | 0.000857315 / -0.000857315 | 0.000801247 / -0.000801247 | 0.000803759 / -0.000803759 | 0.000700686 / -0.000700686 | 0.000703726 / -0.000703726 |
 | gamma_stat_Wjets_CR_bin_7 | 0.000706265 / -0.000706265 | 0.000650686 / -0.000650686 | 0.000760236 / -0.000760236 | 0.000664241 / -0.000664241 | 0.00073643 / -0.00073643 | 0.000571751 / -0.000571751 | 0.000760441 / -0.000760441 |
 | gamma_stat_Wjets_CR_bin_8 | 0.000642828 / -0.000642828 | 0.000586392 / -0.000586392 | 0.000684546 / -0.000684546 | 0.000598917 / -0.000598917 | 0.000690387 / -0.000690387 | 0.00090347 / -0.00090347 | 0.000580139 / -0.000580139 |
 | gamma_stat_Wjets_CR_bin_9 | 0.000555447 / -0.000555447 | 0.000569693 / -0.000569693 | 0.000591351 / -0.000591351 | 0.000504223 / -0.000504223 | 0.000589686 / -0.000589686 | 0.000619697 / -0.000619697 | 0.000625608 / -0.000625608 |
 | gamma_stat_Wjets_CR_bin_10 | 0.000506389 / -0.000506389 | 0.000603586 / -0.000603586 | 0.000577569 / -0.000577569 | 0.000494809 / -0.000494809 | 0.000486075 / -0.000486075 | 0.000560662 / -0.000560662 | 0.000592352 / -0.000592352 |
 | gamma_stat_Wjets_CR_bin_11 | 0.000463382 / -0.000463382 | 0.000367792 / -0.000367792 | 0.00052018 / -0.00052018 | 0.00049024 / -0.00049024 | 0.000449803 / -0.000449803 | 0.00038577 / -0.00038577 | 0.000579183 / -0.000579183 |
 | gamma_stat_Wjets_CR_bin_12 | 0.000433655 / -0.000433655 | 0.000399485 / -0.000399485 | 0.000513918 / -0.000513918 | 0.000374687 / -0.000374687 | 0.000428874 / -0.000428874 | 0.000444231 / -0.000444231 | 0.000330616 / -0.000330616 |
 | gamma_stat_Wjets_CR_bin_13 | 0.000370456 / -0.000370456 | 0.000371431 / -0.000371431 | 0.000420792 / -0.000420792 | 0.000355803 / -0.000355803 | 0.000318533 / -0.000318533 | 0.000224047 / -0.000224047 | 0.000501454 / -0.000501454 |
 | gamma_stat_Wjets_CR_bin_14 | 0.000339736 / -0.000339736 | 0.000265012 / -0.000265012 | 0.000426846 / -0.000426846 | 0.000305561 / -0.000305561 | 0.000316436 / -0.000316436 | 0.000323109 / -0.000323109 | 0.000365653 / -0.000365653 |
 | gamma_stat_Wjets_CR_bin_15 | 0.000338104 / -0.000338104 | 0.000228898 / -0.000228898 | 0.000454373 / -0.000454373 | 0.000295806 / -0.000295806 | 0.000280113 / -0.000280113 | 0.000366735 / -0.000366735 | 0.000323041 / -0.000323041 |
 | gamma_stat_Wjets_CR_bin_16 | 0.000264473 / -0.000264473 | 0.000247048 / -0.000247048 | 0.000364055 / -0.000364055 | 0.000273189 / -0.000273189 | 0.000187741 / -0.000187741 | 0.00037395 / -0.00037395 | 0.00030725 / -0.00030725 |
 | gamma_stat_Wjets_CR_bin_17 | 0.000246227 / -0.000246227 | 0.00021242 / -0.00021242 | 0.000348408 / -0.000348408 | 0.000203562 / -0.000203562 | 0.000300619 / -0.000300619 | 0.000236861 / -0.000236861 | 0.000336338 / -0.000336338 |
 | gamma_stat_Wjets_CR_bin_18 | 0.000225817 / -0.000225817 | 0.000176934 / -0.000176934 | 0.000289792 / -0.000289792 | 0.000164509 / -0.000164509 | 0.000250175 / -0.000250175 | 0.000282087 / -0.000282087 | 0.000275655 / -0.000275655 |
 | #mu_{W+jets} | 0.212356 / -0.212356 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
