 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | JET_JER_EffectiveNP_10 | 0.000100245 / -0.000100244 | -0.00698574 / 0.00698575 | -0.00102883 / 0.00102884 | -0.000646934 / 0.000646952 | -0.00652313 / 0.00652313 | -0.0769971 / 0.076997 | -0.0119614 / 0.0119614 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -2.50806e-06 / 2.50934e-06 | -0.00620186 / 0.00620187 | -0.000383709 / 0.000383723 | 0.00155986 / -0.00155984 | -0.00195222 / 0.00195222 | 0.0627396 / -0.0627396 | 0.00940073 / -0.00940072 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -4.69086e-05 / 4.69099e-05 | 0.00702256 / -0.00702262 | -0.00135694 / 0.00135696 | -0.000942582 / 0.0009426 | 0.0123411 / -0.0123411 | 0.076997 / -0.0769971 | 0.0089671 / -0.00896715 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -1.98971e-05 / 1.98984e-05 | -0.00115536 / 0.00115538 | -0.00339251 / 0.00339253 | 0.00329979 / -0.00329977 | -0.00649225 / 0.00649224 | -0.0778572 / 0.0778572 | 0.0179214 / -0.0179213 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 1.19255e-05 / -1.19243e-05 | 0.00190808 / -0.00190806 | 0.0017122 / -0.00171219 | 0.0052863 / -0.00528628 | 0.000610641 / -0.000610645 | 0.070223 / -0.070223 | 0.00125079 / -0.00125078 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 2.92173e-06 / -2.92045e-06 | -0.000384648 / 0.00038466 | 0.000563332 / -0.000563318 | 0.00162405 / -0.00162403 | 0.000980123 / -0.000980127 | 0.000354695 / -0.000354651 | 0.00215038 / -0.00215037 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.010344 / -0.010344 | 0.0198979 / -0.0198979 | 0.00937635 / -0.00937633 | 0 / 0 | 0.0279234 / -0.0279234 | 0.0194401 / -0.01944 | 0.0138884 / -0.0138884 | 0 / 0 |
 | JET_Pileup_OffsetMu | -1.50172e-05 / 1.50185e-05 | 0.00169525 / -0.00169524 | 0.00138958 / -0.00138957 | 0.00269305 / -0.00269303 | 0.000760187 / -0.000760191 | 0.0697027 / -0.0697026 | 0.00220878 / -0.00220876 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.000127944 / -0.000127943 | 0.00425506 / -0.00425512 | 0.00173839 / -0.0017385 | 0.00546726 / -0.00546724 | -0.00191 / 0.00191 | 0.0697027 / -0.0697026 | 0.00592732 / -0.00592731 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.000111655 / -0.000111654 | 0.00859489 / -0.00859495 | 0.000304793 / -0.000304896 | 0.00120659 / -0.00120668 | -0.000336773 / 0.000336769 | 0.0698683 / -0.0698683 | 0.00378781 / -0.0037878 | 0 / 0 |
