 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | AlphaS_Zjets | 0 / 0 | 0.011504 / -0.011504 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.021528 / -0.021528 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_CR_bin_0 | 0.0018736 / -0.0018736 | 0.0018425 / -0.0018425 | 0.00166125 / -0.00166125 | 0.00187893 / -0.00187893 | 0.00177235 / -0.00177235 | 0.00189618 / -0.00189618 | 0.00179478 / -0.00179478 |
 | gamma_stat_Wjets_CR_bin_1 | 0.00173577 / -0.00173577 | 0.00163295 / -0.00163295 | 0.0016298 / -0.0016298 | 0.00179375 / -0.00179375 | 0.00174491 / -0.00174491 | 0.00170162 / -0.00170162 | 0.00170873 / -0.00170873 |
 | gamma_stat_Wjets_CR_bin_2 | 0.00141313 / -0.00141313 | 0.00165438 / -0.00165438 | 0.00135677 / -0.00135677 | 0.00153148 / -0.00153148 | 0.00155249 / -0.00155249 | 0.00143849 / -0.00143849 | 0.00134942 / -0.00134942 |
 | gamma_stat_Wjets_CR_bin_3 | 0.00126984 / -0.00126984 | 0.0013444 / -0.0013444 | 0.00130874 / -0.00130874 | 0.00128675 / -0.00128675 | 0.00121148 / -0.00121148 | 0.00128653 / -0.00128653 | 0.00123751 / -0.00123751 |
 | gamma_stat_Wjets_CR_bin_4 | 0.00110451 / -0.00110451 | 0.00113862 / -0.00113862 | 0.00105989 / -0.00105989 | 0.00112453 / -0.00112453 | 0.00112246 / -0.00112246 | 0.00108091 / -0.00108091 | 0.00105778 / -0.00105778 |
 | gamma_stat_Wjets_CR_bin_5 | 0.000954171 / -0.000954171 | 0.000891591 / -0.000891591 | 0.00098412 / -0.00098412 | 0.000918325 / -0.000918325 | 0.000887909 / -0.000887909 | 0.000910287 / -0.000910287 | 0.00111266 / -0.00111266 |
 | gamma_stat_Wjets_CR_bin_6 | 0.000870016 / -0.000870016 | 0.000875432 / -0.000875432 | 0.000914123 / -0.000914123 | 0.000862291 / -0.000862291 | 0.000911488 / -0.000911488 | 0.000735984 / -0.000735984 | 0.000756742 / -0.000756742 |
 | gamma_stat_Wjets_CR_bin_7 | 0.000757322 / -0.000757322 | 0.000682213 / -0.000682213 | 0.000813008 / -0.000813008 | 0.000722441 / -0.000722441 | 0.00082756 / -0.00082756 | 0.000645212 / -0.000645212 | 0.000814523 / -0.000814523 |
 | gamma_stat_Wjets_CR_bin_8 | 0.000699716 / -0.000699716 | 0.000642618 / -0.000642618 | 0.000740081 / -0.000740081 | 0.000647803 / -0.000647803 | 0.000747377 / -0.000747377 | 0.000942208 / -0.000942208 | 0.000623074 / -0.000623074 |
 | gamma_stat_Wjets_CR_bin_9 | 0.000602317 / -0.000602317 | 0.000649831 / -0.000649831 | 0.000637249 / -0.000637249 | 0.000545454 / -0.000545454 | 0.000631748 / -0.000631748 | 0.000659958 / -0.000659958 | 0.000670583 / -0.000670583 |
 | gamma_stat_Wjets_CR_bin_10 | 0.000537655 / -0.000537655 | 0.000670183 / -0.000670183 | 0.000622463 / -0.000622463 | 0.000525499 / -0.000525499 | 0.000541948 / -0.000541948 | 0.000611668 / -0.000611668 | 0.000630827 / -0.000630827 |
 | gamma_stat_Wjets_CR_bin_11 | 0.000507105 / -0.000507105 | 0.000387106 / -0.000387106 | 0.000560511 / -0.000560511 | 0.000521523 / -0.000521523 | 0.000490736 / -0.000490736 | 0.00042587 / -0.00042587 | 0.000627493 / -0.000627493 |
 | gamma_stat_Wjets_CR_bin_12 | 0.000464664 / -0.000464664 | 0.000414546 / -0.000414546 | 0.000552858 / -0.000552858 | 0.000398508 / -0.000398508 | 0.00048587 / -0.00048587 | 0.000471549 / -0.000471549 | 0.000354664 / -0.000354664 |
 | gamma_stat_Wjets_CR_bin_13 | 0.000401031 / -0.000401031 | 0.000408342 / -0.000408342 | 0.000447571 / -0.000447571 | 0.000373808 / -0.000373808 | 0.000360771 / -0.000360771 | 0.000270311 / -0.000270311 | 0.000537703 / -0.000537703 |
 | gamma_stat_Wjets_CR_bin_14 | 0.00035724 / -0.00035724 | 0.000286485 / -0.000286485 | 0.000454145 / -0.000454145 | 0.000319464 / -0.000319464 | 0.000314243 / -0.000314243 | 0.000341889 / -0.000341889 | 0.000387219 / -0.000387219 |
 | gamma_stat_Wjets_CR_bin_15 | 0.000370687 / -0.000370687 | 0.000240847 / -0.000240847 | 0.000496787 / -0.000496787 | 0.000324981 / -0.000324981 | 0.000281251 / -0.000281251 | 0.000414764 / -0.000414764 | 0.000350844 / -0.000350844 |
 | gamma_stat_Wjets_CR_bin_16 | 0.000288599 / -0.000288599 | 0.00025476 / -0.00025476 | 0.000394632 / -0.000394632 | 0.000292964 / -0.000292964 | 0.000191513 / -0.000191513 | 0.000401217 / -0.000401217 | 0.000327701 / -0.000327701 |
 | gamma_stat_Wjets_CR_bin_17 | 0.000264654 / -0.000264654 | 0.000246504 / -0.000246504 | 0.000378885 / -0.000378885 | 0.000220621 / -0.000220621 | 0.000313255 / -0.000313255 | 0.000252326 / -0.000252326 | 0.000357988 / -0.000357988 |
 | gamma_stat_Wjets_CR_bin_18 | 0.000236736 / -0.000236736 | 0.000203037 / -0.000203037 | 0.000307445 / -0.000307445 | 0.000172048 / -0.000172048 | 0.000276931 / -0.000276931 | 0.000333483 / -0.000333483 | 0.000293398 / -0.000293398 |
