 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_Pileup_OffsetMu | -0.00338823 / 0.00338815 | 0.002679 / -0.00267905 | 0.0016732 / -0.00167322 | 0.00295564 / -0.0029557 | 0.00458372 / -0.00458387 | 0.0044287 / -0.00442883 |    NA    |
 | JET_Pileup_OffsetNPV | -0.00675798 / 0.00675755 | 0.00525203 / -0.00525229 | 0.00330272 / -0.00330282 | 0.00470441 / -0.00470461 | 0.00378871 / -0.00378885 | 0.00586807 / -0.00586839 |    NA    |
 | JET_Pileup_PtTerm | 0.00602171 / -0.00602235 | 0.00683851 / -0.00683933 | 0.00410601 / -0.00410631 | 0.00537732 / -0.00537783 | -0.00544401 / 0.00544349 | 0.00557122 / -0.00557176 |    NA    |
 | JET_Pileup_RhoTopology | -0.00501675 / 0.00501643 | 0.00353725 / -0.0035374 | 0.00193148 / -0.00193152 | 0.00367771 / -0.00367788 | 0.00915353 / -0.00915459 | 0.00458045 / -0.00458072 |    NA    |
 | JET_SingleParticle_HighPt | 0 / 0 | -1.57436e-07 / 1.57436e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Wjets | -0.412986 / 0.389544 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUR_Wjets | -0.367431 / 0.360629 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Wjets | -0.0713282 / 0.0712767 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | AlphaS_Wjets | 0.0271169 / -0.0271213 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | PDF_Wjets | 0.0193628 / -0.0193708 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Zjets | 0 / 0 | -0.311193 / 0.311964 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUR_Zjets | 0 / 0 | -0.223401 / 0.223473 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Zjets | 0 / 0 | -0.0339579 / 0.0339504 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | AlphaS_Zjets | 0 / 0 | 0.0152004 / -0.015202 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | PDF_Zjets | 0 / 0 | -0.00119565 / 0.00119564 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | gamma_stat_Zjets_CR_bin_0 | 0.002206 / -0.002206 | 0.002206 / -0.002206 | 0.002206 / -0.002206 | 0.002206 / -0.002206 | 0.002206 / -0.002206 | 0.002206 / -0.002206 |    NA    |
 | #mu_{Z+jets} | 0 / 0 | 0.383155 / -0.383155 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
