 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_JER_EffectiveNP_10 | 9.94595e-05 / -9.94583e-05 | -0.00693171 / 0.0069314 | -0.00102078 / 0.00102079 | -0.000641869 / 0.000641884 | -0.00647264 / 0.00647235 | -0.0764799 / 0.0764465 | -0.0118698 / 0.0118689 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -2.48969e-06 / 2.49096e-06 | -0.0061567 / 0.00615644 | -0.0003809 / 0.000380913 | 0.00154842 / -0.00154842 | -0.00193795 / 0.00193792 | 0.0622541 / -0.0622834 | 0.00933131 / -0.00933194 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -4.65338e-05 / 4.65351e-05 | 0.00696639 / -0.00696684 | -0.00134611 / 0.00134611 | -0.000935055 / 0.000935066 | 0.0122423 / -0.0122435 | 0.0763738 / -0.0764192 | 0.00889535 / -0.00889604 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -1.9415e-05 / 1.94162e-05 | -0.00112744 / 0.00112744 | -0.00331088 / 0.00331081 | 0.00321931 / -0.00321937 | -0.00633701 / 0.00633671 | -0.0762608 / 0.0762425 | 0.0174713 / -0.0174739 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 1.18303e-05 / -1.1829e-05 | 0.00189278 / -0.0018928 | 0.00169848 / -0.00169849 | 0.00524375 / -0.00524395 | 0.000605755 / -0.000605762 | 0.0696113 / -0.0696516 | 0.00124078 / -0.00124077 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 2.89568e-06 / -2.89441e-06 | -0.00038122 / 0.00038123 | 0.00055831 / -0.000558299 | 0.00160957 / -0.00160957 | 0.000971384 / -0.000971397 | 0.000351533 / -0.00035149 | 0.00213121 / -0.00213123 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0102727 / -0.0102734 | 0.0197624 / -0.0197646 | 0.00931168 / -0.00931219 | 0 / 0 | 0.027735 / -0.0277394 | 0.0193076 / -0.0193097 | 0.0137931 / -0.0137943 | 0 / 0 |
 | JET_Pileup_OffsetMu | -1.49108e-05 / 1.49121e-05 | 0.00168325 / -0.00168325 | 0.00137974 / -0.00137974 | 0.00267397 / -0.002674 | 0.000754805 / -0.000754813 | 0.0692019 / -0.0692352 | 0.00219314 / -0.00219315 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.000126762 / -0.00012676 | 0.00421566 / -0.00421588 | 0.00172231 / -0.00172244 | 0.0054166 / -0.00541686 | -0.00189236 / 0.00189232 | 0.0690404 / -0.0690845 | 0.0058724 / -0.0058727 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00010967 / -0.000109669 | 0.00844209 / -0.00844338 | 0.000299375 / -0.000299478 | 0.00118514 / -0.00118525 | -0.000330786 / 0.00033078 | 0.0686288 / -0.0687079 | 0.00372047 / -0.0037207 | 0 / 0 |
 | JET_Pileup_RhoTopology | 3.63187e-06 / -3.63061e-06 | 0.00456229 / -0.00456261 | 0.00286126 / -0.00286135 | 0.00537749 / -0.00537784 | -0.000946068 / 0.000946053 | 0.0693143 / -0.0693753 | 0.00587406 / -0.00587448 | 0 / 0 |
 | JET_SingleParticle_HighPt | -3.35021e-08 / -3.35038e-08 | 0.000129445 / -0.000129433 | 0.000109715 / -0.000109702 | -0.000314238 / 0.000314255 | -1.94665e-07 / 1.90783e-07 | -3.22896e-06 / 3.20892e-06 | -9.03034e-06 / 9.04677e-06 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.283843 / 0.271447 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | -0.238829 / 0.235598 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.029198 / 0.0291885 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0 / 0 | 0.0179152 / -0.0179172 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0 / 0 | 0.0894611 / -0.0896176 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.279439 / 0.280067 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | 0 / 0 | -0.129507 / 0.12953 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.0429307 / 0.0429187 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0 / 0 | 0.00168403 / -0.00168405 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0 / 0 | 0.0454532 / -0.0454667 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | fakes stat. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.117414 / -0.119121 |
 | fakes syst. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.140985 / -0.146259 |
 | gamma_stat_Signal_bin_0 | 0.000162276 / -0.000162276 | 0.0258438 / -0.0258438 | 0.0264728 / -0.0264728 | 0.0258677 / -0.0258677 | 0.0239993 / -0.0239993 | 0.0276749 / -0.0276749 | 0.0253866 / -0.0253866 | 0.0238556 / -0.0238556 |
 | gamma_stat_Signal_bin_1 | 0.000808013 / -0.000808013 | 0.00165859 / -0.00165859 | 0.00103952 / -0.00103952 | 0.00160856 / -0.00160856 | 0.00379629 / -0.00379629 | 1.70016e-08 / -1.70016e-08 | 0.0016567 / -0.0016567 | 0.00346145 / -0.00346145 |
 | gamma_stat_Signal_bin_2 | 0.00221227 / -0.00221227 | 9.83037e-05 / -9.83037e-05 | 7.4792e-05 / -7.4792e-05 | 0.000105573 / -0.000105573 | 5.82705e-10 / -5.82705e-10 | 7.78441e-09 / -7.78441e-09 | 0.000323525 / -0.000323525 | 0.000196643 / -0.000196643 |
 | gamma_stat_Signal_bin_3 | 0.00484426 / -0.00484426 | 3.8224e-06 / -3.8224e-06 | 8.23101e-06 / -8.23101e-06 | 5.83249e-06 / -5.83249e-06 | 2.72723e-10 / -2.72723e-10 | 3.63884e-09 / -3.63884e-09 | 3.05177e-08 / -3.05177e-08 | 1.14403e-05 / -1.14403e-05 |
 | #mu_{signal strength} | 0.100146 / -0.0848724 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{W+jets} | 0 / 0 | 0.212356 / -0.212356 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{Z+jets} | 0 / 0 | 0 / 0 | 0.383155 / -0.383155 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
