 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_Pileup_PtTerm | 0.0142688 / -0.0142688 | 0.00525578 / -0.0052558 | 0.00792003 / -0.00792003 | 0.01335 / -0.01335 | 0.0318156 / -0.0318156 | -0.00346861 / 0.00346861 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.0121693 / -0.0121693 | -0.00639269 / 0.00639267 | 0.0040652 / -0.0040652 | 0.00347593 / -0.00347596 | 0.034589 / -0.034589 | 0.0219559 / -0.0219559 | 0 / 0 |
 | JET_SingleParticle_HighPt | 7.4323e-05 / -7.43442e-05 | 1.97592e-05 / -1.97803e-05 | 9.76444e-05 / -9.76454e-05 | 2.48909e-08 / 2.48909e-08 | 2.85669e-08 / 2.85669e-08 | 5.30081e-08 / 5.30081e-08 | 0 / 0 |
 | MUF_Wjets | -0.263345 / 0.263345 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.198946 / 0.198947 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0297647 / 0.0297647 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.00227089 / -0.00227089 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0350092 / -0.0350092 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.441502 / 0.441502 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.243319 / 0.243319 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0701833 / 0.0701833 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0239989 / -0.0239989 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.109473 / -0.109473 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_VR_bin_0 | 0.0123601 / -0.0123601 | 0.00985131 / -0.00985131 | 0.0123541 / -0.0123541 | 0.0124466 / -0.0124466 | 0.012763 / -0.012763 | 0.0107913 / -0.0107913 | 0.0139113 / -0.0139113 |
 | gamma_stat_Wjets_VR_bin_1 | 0.00956301 / -0.00956301 | 0.0192844 / -0.0192844 | 0.00876334 / -0.00876334 | 0.00927491 / -0.00927491 | 0.00785784 / -0.00785784 | 0.0102898 / -0.0102898 | 0.00632207 / -0.00632207 |
 | gamma_stat_Wjets_VR_bin_2 | 0.00611325 / -0.00611325 | 0.00172963 / -0.00172963 | 0.00691546 / -0.00691546 | 0.00680064 / -0.00680064 | 0.00857459 / -0.00857459 | 0.00638216 / -0.00638216 | 0.00845071 / -0.00845071 |
 | gamma_stat_Wjets_VR_bin_3 | 0.00444132 / -0.00444132 | 0.00194379 / -0.00194379 | 0.00410065 / -0.00410065 | 0.00404523 / -0.00404523 | 0.00549868 / -0.00549868 | 0.00556674 / -0.00556674 | 0.00285798 / -0.00285798 |
 | gamma_stat_Wjets_VR_bin_4 | 0.00325824 / -0.00325824 | 0.00153715 / -0.00153715 | 0.00411813 / -0.00411813 | 0.00301287 / -0.00301287 | 5.62658e-09 / -5.62658e-09 | 0.00468595 / -0.00468595 | 0.00352256 / -0.00352256 |
