 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_Pileup_PtTerm | 0 / 0 | 0.00383332 / -0.00383331 | 0.00284657 / -0.00284657 | 0.00332143 / -0.00332143 | 0.00887137 / -0.00887132 | 0.00414048 / -0.00414047 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.0166636 / 0.0166674 | 0.000496693 / -0.000496689 | -0.000350337 / 0.000350339 | -0.000946569 / 0.000946583 | 0.00317236 / -0.0031722 | -0.00123642 / 0.00123644 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | -2.63738e-07 / 2.63738e-07 | -9.91636e-08 / 9.91636e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.472347 / 0.59099 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.516368 / 0.544058 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.136519 / 0.138862 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0494121 / -0.0493196 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.170262 / -0.170446 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.30577 / 0.303308 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.21802 / 0.216997 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0367745 / 0.0367647 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.015023 / -0.0150245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.00114897 / 0.00114896 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00083711 / 0.000837105 | 0.00490044 / -0.0049006 | -0.00653797 / 0.00653769 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | -0.000296114 / 0.000296102 | -0.00441491 / 0.00441217 | -0.0515561 / 0.0511811 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.200332 / -0.20004 |
 | gamma_stat_Zjets_CR_bin_0 | 0.00244209 / -0.00244209 | 0.00244209 / -0.00244209 | 0.00244209 / -0.00244209 | 0.00244209 / -0.00244209 | 0.00244209 / -0.00244209 | 0.00244209 / -0.00244209 | 0.00244209 / -0.00244209 |
 | #mu_{Z+jets} | 0 / 0 | 0.36605 / -0.36605 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
