 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_JESUnc_VertexingAlg_PreRec | -0.00156493 / 0.00156491 | -0.00120914 / 0.00120918 | 0.003226 / -0.00322605 | -0.00931725 / 0.0093171 | -0.0193018 / 0.0193014 | -0.0262616 / 0.026261 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0187407 / -0.0187393 | 0.0167395 / -0.0167386 | 0.0183905 / -0.0183892 | 0.0313558 / -0.0313514 | 0.0240625 / -0.0240601 | 0.0380519 / -0.038045 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000152516 / 0.000152502 | 0.00179021 / -0.00179006 | 0.0102584 / -0.0102546 | -0.0174086 / 0.0174188 | -0.013184 / 0.0131899 | -0.00262722 / 0.00262749 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00148228 / -0.00148219 | 0.0113548 / -0.0113488 | 0.00886632 / -0.00886268 | -0.0104841 / 0.0104889 | 0.014766 / -0.0147557 | -0.00730819 / 0.00731063 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00935374 / -0.0093537 | 0.0034617 / -0.00346177 | 0.00429149 / -0.00429151 | 0.00120804 / -0.00120807 | 0.015702 / -0.0157018 | -0.0145625 / 0.0145625 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00268643 / -0.00268634 | 0.00447919 / -0.00447884 | 0.0112312 / -0.0112291 | -0.0073197 / 0.00732046 | 0.0137137 / -0.0137106 | -0.00321075 / 0.00321087 | 0 / 0 |
 | JET_SingleParticle_HighPt | 7.22785e-05 / -7.22905e-05 | 9.06282e-05 / -9.06008e-05 | 0.000218437 / -0.000218414 | -1.02217e-08 / -1.02235e-08 | 1.24273e-08 / 1.24295e-08 | -9.07249e-09 / -9.07406e-09 | 0 / 0 |
 | MUF_Wjets | -0.243139 / 0.267538 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.232323 / 0.236059 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0318919 / 0.0320032 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.00971395 / -0.00971074 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0353225 / -0.0353451 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.271309 / 0.269401 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.203729 / 0.20285 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0453778 / 0.0453628 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0118923 / -0.0118933 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0451392 / -0.0451533 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00686661 / 0.00686628 | 0.0168183 / -0.0168201 | 0.0862442 / -0.0862802 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.00817101 / -0.00818034 | 0.00893882 / -0.00895001 | -0.00305665 / 0.00305536 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.200332 / -0.20004 |
 | gamma_stat_Wjets_VR_bin_0 | 0.0181431 / -0.0181431 | 0.0174118 / -0.0174118 | 0.016867 / -0.016867 | 0.0203395 / -0.0203395 | 0.0208021 / -0.0208021 | 0.01946 / -0.01946 | 0.0329156 / -0.0329156 |
 | gamma_stat_Wjets_VR_bin_1 | 0.0113677 / -0.0113677 | 0.0110148 / -0.0110148 | 0.0123358 / -0.0123358 | 0.0103088 / -0.0103088 | 0.00557873 / -0.00557873 | 0.00560826 / -0.00560826 | 0.000185257 / -0.000185257 |
 | gamma_stat_Wjets_VR_bin_2 | 0.00630748 / -0.00630748 | 0.00656642 / -0.00656642 | 0.00550901 / -0.00550901 | 0.00545317 / -0.00545317 | 0.0101907 / -0.0101907 | 0.00865666 / -0.00865666 | 0.000304264 / -0.000304264 |
 | gamma_stat_Wjets_VR_bin_3 | 0.00466916 / -0.00466916 | 0.00704013 / -0.00704013 | 0.00685412 / -0.00685412 | 0.00467464 / -0.00467464 | 0.00434109 / -0.00434109 | 0.0122507 / -0.0122507 | 5.9298e-05 / -5.9298e-05 |
 | gamma_stat_Wjets_VR_bin_4 | 0.00333258 / -0.00333258 | 0.0035656 / -0.0035656 | 0.00417618 / -0.00417618 | 0.000635742 / -0.000635742 | 0.00239566 / -0.00239566 | 0.00121002 / -0.00121002 | 0.000592974 / -0.000592974 |
 | #mu_{W+jets} | 0.263881 / -0.263881 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
