 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | JET_InSitu_NonClosure_PreRec | 0.000815743 / -0.000815712 | 0 / 0 | 0 / 0 | -0.0251262 / 0.0251262 | -0.108128 / 0.108128 | -0.000394874 / 0.000394845 | -0.0619591 / 0.0619591 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 2.89211e-06 / -2.86148e-06 | 0.00117036 / -0.00117044 | -0.00144405 / 0.00144403 | -0.000561666 / 0.000561676 | -9.05535e-05 / 9.05966e-05 | -0.000145354 / 0.000145385 | 0.00464178 / -0.00464181 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.000425161 / 0.000425161 | 0 / 0 | -0.00453463 / 0.00453463 | -0.00699469 / 0.00699469 | -0.247745 / 0.247745 | 0.000823736 / -0.000823735 | -0.0493081 / 0.0493081 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -5.40199e-05 / 5.40506e-05 | 0.0044431 / -0.00444309 | 0 / 0 | 2.20516e-05 / -2.20419e-05 | 0.0490722 / -0.0490721 | -8.51489e-06 / 8.48564e-06 | -0.00304895 / 0.00304901 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000424537 / -0.000424537 | 0 / 0 | 0.00773055 / -0.00773055 | 0.00800904 / -0.00800904 | 0.247561 / -0.247561 | -0.000823735 / 0.000823736 | 0.0406004 / -0.0406004 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000455593 / 0.000455624 | -0.00950051 / 0.00950053 | 0 / 0 | 0.0006089 / -0.000608956 | -0.0437046 / 0.0437046 | -0.00441338 / 0.00441341 | 0.0188183 / -0.0188183 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | -0.000200841 / 0.000200802 | -0.000855377 / 0.000855389 | 0 / 0 | 0.00174418 / -0.00174417 | -0.0562609 / 0.0562609 | 1.52022e-08 / 1.52022e-08 | -0.00315593 / 0.0031559 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.000627577 / 0.000627607 | -0.00536125 / 0.00536126 | -0.00225153 / 0.00225151 | 0.000870852 / -0.000870843 | -0.0566185 / 0.0566184 | -0.000403345 / 0.000403375 | -0.00326206 / 0.00326211 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0103302 / -0.0103302 | 0.016379 / -0.016379 | 0.0197078 / -0.0197078 | 0.0218102 / -0.0218102 | 0.0256824 / -0.0256824 | 0.0131065 / -0.0131065 | 0.0162249 / -0.0162249 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000424399 / 0.00042436 | -0.00292699 / 0.002927 | 0 / 0 | 0.000966214 / -0.000966205 | -0.0592861 / 0.059286 | -0.000403345 / 0.000403375 | -0.00378983 / 0.00378988 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.00154843 / 0.00154846 | 0.00347623 / -0.00347622 | 0 / 0 | 0.0013054 / -0.00130539 | -0.0600414 / 0.0600414 | -0.000410085 / 0.000410056 | -0.026728 / 0.0267281 | 0 / 0 |
 | JET_Pileup_PtTerm | -2.71236e-05 / 2.71542e-05 | 0.00762108 / -0.00762107 | 0 / 0 | 0.00515099 / -0.00515098 | 0.0882151 / -0.0882151 | 8.48564e-06 / -8.51489e-06 | 0.00254834 / -0.00254828 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.0013212 / 0.00132116 | -0.0047924 / 0.00479241 | 0 / 0 | 0.0024864 / -0.00248639 | -0.058233 / 0.058233 | -0.000403345 / 0.000403375 | -0.012081 / 0.012081 | 0 / 0 |
 | JET_SingleParticle_HighPt | -0.00215505 / 0.00215508 | 0.000398588 / -0.000398576 | 0.000414083 / -0.0004141 | -0.000827793 / 0.000827737 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.209044 / 0.209044 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | -0.202251 / 0.202251 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.0253705 / 0.0253705 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0 / 0 | -0.00688735 / 0.00688735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0 / 0 | 0.0740572 / -0.0740572 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
