 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | AlphaS_Zjets | 0 / 0 | 0.0132516 / -0.0132528 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0024964 / -0.00249644 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00184782 / 0.0018478 | 0.000801167 / -0.000801134 | -0.00161848 / 0.00161842 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | -7.80482e-05 / 7.80513e-05 | -0.00179147 / 0.00179105 | 0.0047419 / -0.0047451 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.200332 / -0.20004 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00207735 / -0.00207735 | 0.00209683 / -0.00209683 | 0.00182336 / -0.00182336 | 0.00208788 / -0.00208788 | 0.0020016 / -0.0020016 | 0.00203415 / -0.00203415 | 0.00107984 / -0.00107984 |
 | gamma_stat_Wjets_CR_bin_1 | 0.00176429 / -0.00176429 | 0.00181766 / -0.00181766 | 0.00161061 / -0.00161061 | 0.00175544 / -0.00175544 | 0.00187152 / -0.00187152 | 0.00165355 / -0.00165355 | 0.000631936 / -0.000631936 |
 | gamma_stat_Wjets_CR_bin_2 | 0.00158946 / -0.00158946 | 0.0015963 / -0.0015963 | 0.0015132 / -0.0015132 | 0.00167079 / -0.00167079 | 0.00153666 / -0.00153666 | 0.00178551 / -0.00178551 | 0.00149176 / -0.00149176 |
 | gamma_stat_Wjets_CR_bin_3 | 0.00151946 / -0.00151946 | 0.00147889 / -0.00147889 | 0.00160221 / -0.00160221 | 0.00160675 / -0.00160675 | 0.00141821 / -0.00141821 | 0.00134848 / -0.00134848 | 0.00564048 / -0.00564048 |
 | gamma_stat_Wjets_CR_bin_4 | 0.001077 / -0.001077 | 0.00108268 / -0.00108268 | 0.00110383 / -0.00110383 | 0.00108136 / -0.00108136 | 0.00121229 / -0.00121229 | 0.00101676 / -0.00101676 | 0.000117532 / -0.000117532 |
 | gamma_stat_Wjets_CR_bin_5 | 0.000968933 / -0.000968933 | 0.000863926 / -0.000863926 | 0.000948409 / -0.000948409 | 0.000916302 / -0.000916302 | 0.00101186 / -0.00101186 | 0.00103184 / -0.00103184 | 0.00151147 / -0.00151147 |
 | gamma_stat_Wjets_CR_bin_6 | 0.000913064 / -0.000913064 | 0.000963852 / -0.000963852 | 0.00100034 / -0.00100034 | 0.000928954 / -0.000928954 | 0.00101007 / -0.00101007 | 0.000973952 / -0.000973952 | 0.000695508 / -0.000695508 |
 | gamma_stat_Wjets_CR_bin_7 | 0.000752817 / -0.000752817 | 0.000786596 / -0.000786596 | 0.000857153 / -0.000857153 | 0.000768519 / -0.000768519 | 0.000754965 / -0.000754965 | 0.000826868 / -0.000826868 | 0.000193147 / -0.000193147 |
 | gamma_stat_Wjets_CR_bin_8 | 0.000659244 / -0.000659244 | 0.000654355 / -0.000654355 | 0.000792047 / -0.000792047 | 0.000608912 / -0.000608912 | 0.000737129 / -0.000737129 | 0.000777398 / -0.000777398 | 0.000777475 / -0.000777475 |
 | gamma_stat_Wjets_CR_bin_9 | 0.00056812 / -0.00056812 | 0.000532128 / -0.000532128 | 0.000685587 / -0.000685587 | 0.000578198 / -0.000578198 | 0.00068838 / -0.00068838 | 0.000605371 / -0.000605371 | 0.000793667 / -0.000793667 |
