 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_JER_EffectiveNP_11 | -5.34744e-05 / 5.35044e-05 | 0.00439895 / -0.00439889 | 0 / 0 | 2.1828e-05 / -2.18186e-05 | 0.0486791 / -0.048667 | -8.42736e-06 / 8.39877e-06 | -0.00301772 / 0.00301779 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000416351 / -0.00041634 | 0 / 0 | 0.00757737 / -0.00757387 | 0.00785018 / -0.00784642 | 0.237936 / -0.236127 | -0.000807924 / 0.000807965 | 0.0396977 / -0.0396077 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000450431 / 0.000450464 | -0.00939731 / 0.00939888 | 0 / 0 | 0.000601967 / -0.000602015 | -0.0433051 / 0.0433427 | -0.00436429 / 0.00436465 | 0.0185863 / -0.018581 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | -0.00019943 / 0.000199392 | -0.000849359 / 0.000849372 | 0 / 0 | 0.00173205 / -0.00173204 | -0.0557705 / 0.0557658 | 1.40258e-08 / 1.59332e-08 | -0.00313349 / 0.00313347 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.000622713 / 0.000622743 | -0.00532043 / 0.0053204 | -0.00223418 / 0.00223416 | 0.000864067 / -0.000864059 | -0.0562679 / 0.0562684 | -0.000400216 / 0.000400246 | -0.00323702 / 0.00323706 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0102688 / -0.0102685 | 0.0162854 / -0.0162844 | 0.0195976 / -0.0195961 | 0.0216899 / -0.021688 | 0.0255445 / -0.0255418 | 0.01303 / -0.0130294 | 0.0161321 / -0.0161311 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000419844 / 0.000419814 | -0.00289492 / 0.00289522 | 0 / 0 | 0.000955979 / -0.000955938 | -0.0583365 / 0.0584384 | -0.000399024 / 0.000399058 | -0.003748 / 0.00374855 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.00153058 / 0.00153072 | 0.00343805 / -0.00343749 | 0 / 0 | 0.00129075 / -0.00129066 | -0.0589871 / 0.0591253 | -0.000405405 / 0.000405386 | -0.0263488 / 0.0263788 | 0 / 0 |
 | JET_Pileup_PtTerm | -2.69378e-05 / 2.6968e-05 | 0.00757037 / -0.00757032 | 0 / 0 | 0.00511632 / -0.0051163 | 0.0878605 / -0.0878324 | 8.42818e-06 / -8.45702e-06 | 0.00253098 / -0.00253092 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.00131033 / 0.00131032 | -0.00475196 / 0.00475231 | 0 / 0 | 0.00246654 / -0.00246643 | -0.0575578 / 0.0575951 | -0.000400052 / 0.000400084 | -0.0119737 / 0.0119757 | 0 / 0 |
 | JET_SingleParticle_HighPt | -0.00155757 / 0.0015568 | 0.000287994 / -0.000288013 | 0.000299189 / -0.00029923 | -0.000598195 / 0.00059804 | -5.703e-09 / -5.70398e-09 | 1.05126e-08 / 1.05144e-08 | -9.76456e-09 / -9.76625e-09 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.178691 / 0.191002 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | -0.204022 / 0.20678 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.0251349 / 0.0252034 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0 / 0 | -0.00675002 / 0.0067515 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0 / 0 | 0.0702299 / -0.0703043 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.355017 / 0.351623 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | 0 / 0 | -0.243784 / 0.24247 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.0457009 / 0.0456857 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0 / 0 | 0.0194154 / -0.019418 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0 / 0 | 0.0587793 / -0.0588032 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.200332 / -0.20004 |
