 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_SingleParticle_HighPt | 0.000100031 / -0.000100046 | 0.000125428 / -0.000125384 | 0.000302318 / -0.000302262 | -1.47815e-08 / -1.47815e-08 | 1.79711e-08 / 1.79711e-08 | -1.31197e-08 / -1.31197e-08 | 0 / 0 |
 | MUF_Wjets | -0.280907 / 0.280907 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.230028 / 0.230028 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.032175 / 0.032175 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.00989508 / -0.00989508 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0373371 / -0.0373371 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.277215 / 0.277215 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.20781 / 0.20781 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0457132 / 0.0457132 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0119744 / -0.0119744 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0454597 / -0.0454597 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00692343 / 0.0069234 | 0.0169527 / -0.0169527 | 0.0868544 / -0.0868545 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.00939336 / -0.00939331 | 0.0102764 / -0.0102764 | -0.00351199 / 0.00351202 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2 / -0.2 |
 | gamma_stat_Wjets_VR_bin_0 | 0.0178409 / -0.0178409 | 0.0172216 / -0.0172216 | 0.0166441 / -0.0166441 | 0.0199952 / -0.0199952 | 0.0185975 / -0.0185975 | 0.0207141 / -0.0207141 | 0.032861 / -0.032861 |
 | gamma_stat_Wjets_VR_bin_1 | 0.0113888 / -0.0113888 | 0.0113889 / -0.0113889 | 0.0121194 / -0.0121194 | 0.0107502 / -0.0107502 | 0.00698324 / -0.00698324 | 0.00491996 / -0.00491996 | 0.000202753 / -0.000202753 |
 | gamma_stat_Wjets_VR_bin_2 | 0.006389 / -0.006389 | 0.0064195 / -0.0064195 | 0.00595259 / -0.00595259 | 0.00504784 / -0.00504784 | 0.0119816 / -0.0119816 | 0.00844965 / -0.00844965 | 0.000422645 / -0.000422645 |
 | gamma_stat_Wjets_VR_bin_3 | 0.00516084 / -0.00516084 | 0.00664385 / -0.00664385 | 0.00702446 / -0.00702446 | 0.00530033 / -0.00530033 | 0.00490986 / -0.00490986 | 0.010355 / -0.010355 | 7.41268e-05 / -7.41268e-05 |
 | gamma_stat_Wjets_VR_bin_4 | 0.00356906 / -0.00356906 | 0.00392288 / -0.00392288 | 0.00440823 / -0.00440823 | 0.000733825 / -0.000733825 | 0.00190743 / -0.00190743 | 0.00132445 / -0.00132445 | 0.000484291 / -0.000484291 |
