 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_InSitu_NonClosure_PreRec | -0.0912937 / 0.0909181 | -0.100968 / 0.100509 | -0.0546065 / 0.054472 | -0.119832 / 0.119186 | -0.0534951 / 0.0533661 | -0.0272377 / 0.0272042 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0.000106838 / -0.000106838 | -0.0020648 / 0.00206477 | 0.0125648 / -0.0125659 | -0.0147754 / 0.014774 | 0.0065477 / -0.00654799 | 1.34764e-05 / -1.34764e-05 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 3.95399e-05 / -3.95399e-05 | -0.00941752 / 0.00941682 | 0.00931649 / -0.00931717 | 0.013004 / -0.0130053 | -0.0125639 / 0.0125626 | 0.00471047 / -0.00471065 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.00288312 / 0.00288307 | 0.00755845 / -0.00755884 | 0.00513394 / -0.00513412 | 0.00514504 / -0.00514523 | 0.0117665 / -0.0117675 | -0.0124762 / 0.0124751 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.00190425 / 0.00190422 | 0.0104225 / -0.0104233 | -0.0136603 / 0.0136588 | -0.0226513 / 0.0226473 | 0.0859336 / -0.0859906 | -0.0124304 / 0.0124292 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000696109 / 0.000696106 | 0.0222152 / -0.0222188 | 0.0161751 / -0.016177 | 0.00158361 / -0.00158363 | 0.00749767 / -0.00749808 | -0.0376224 / 0.0376121 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00548528 / -0.00548551 | 0.00576173 / -0.00576198 | 0.0086332 / -0.00863376 | -0.00126898 / 0.00126897 | -0.0181557 / 0.0181532 | -0.00582068 / 0.00582042 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0015658 / 0.00156578 | -0.00120981 / 0.0012098 | 0.0032282 / -0.00322828 | -0.00932053 / 0.0093199 | -0.0193038 / 0.0193011 | -0.0262598 / 0.0262549 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0187108 / -0.0187134 | 0.0167143 / -0.0167163 | 0.0183615 / -0.0183639 | 0.0312895 / -0.0312966 | 0.0240189 / -0.0240231 | 0.0379608 / -0.0379712 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000152992 / 0.000152992 | 0.0017954 / -0.00179542 | 0.0102796 / -0.0102804 | -0.0174926 / 0.0174903 | -0.0132421 / 0.0132408 | -0.00263606 / 0.00263601 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00148811 / -0.00148813 | 0.0113865 / -0.0113874 | 0.00889364 / -0.00889422 | -0.0105396 / 0.0105388 | 0.0148014 / -0.014803 | -0.0073443 / 0.0073439 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00935031 / -0.00935092 | 0.00346117 / -0.00346126 | 0.00429068 / -0.00429081 | 0.00120796 / -0.00120797 | 0.0156928 / -0.0156945 | -0.0145691 / 0.0145676 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00268679 / -0.00268685 | 0.0044792 / -0.00447936 | 0.0112261 / -0.0112271 | -0.00732548 / 0.00732505 | 0.0137051 / -0.0137066 | -0.00321239 / 0.00321231 | 0 / 0 |
 | JET_SingleParticle_HighPt | 7.27388e-05 / -7.27405e-05 | 9.11932e-05 / -9.11958e-05 | 0.000219782 / -0.000219797 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.280218 / 0.279987 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.230028 / 0.230028 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0319665 / 0.0319597 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0098108 / -0.00981162 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0162312 / -0.0162418 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.280325 / 0.281372 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.208371 / 0.208504 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0454272 / 0.0454139 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0118937 / -0.0118947 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0161636 / -0.0161654 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00686991 / 0.00686954 | 0.0168201 / -0.0168223 | 0.0861525 / -0.0862106 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.00817851 / -0.00818804 | 0.00894688 / -0.00895829 | -0.00306025 / 0.00305892 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.19854 / -0.198807 |
 | gamma_stat_Wjets_VR_bin_0 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 |
 | #mu_{W+jets} | 0.334174 / -0.334174 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
