 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_JESUnc_Noise_PreRec | 0.00552672 / -0.00552672 | 0.00580526 / -0.00580526 | 0.00869853 / -0.00869853 | -0.00127854 / 0.00127854 | -0.0182912 / 0.0182912 | -0.0058644 / 0.0058644 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.00157712 / 0.00157712 | -0.00121856 / 0.00121856 | 0.0032516 / -0.0032516 | -0.00938765 / 0.00938765 | -0.0194421 / 0.0194421 | -0.0264473 / 0.0264473 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0188467 / -0.0188467 | 0.0168355 / -0.0168355 | 0.0184948 / -0.0184948 | 0.0315181 / -0.0315181 | 0.0241937 / -0.0241937 | 0.038239 / -0.038239 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000154167 / 0.000154167 | 0.00180919 / -0.00180919 | 0.0103589 / -0.0103589 | -0.0176257 / 0.0176257 | -0.0133431 / 0.0133431 | -0.00265627 / 0.00265627 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00149906 / -0.00149906 | 0.0114707 / -0.0114707 | 0.00895936 / -0.00895936 | -0.0106167 / 0.0106167 | 0.0149111 / -0.0149111 | -0.00739813 / 0.00739813 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00941587 / -0.00941587 | 0.00348537 / -0.00348537 | 0.00432069 / -0.00432069 | 0.00121639 / -0.00121639 | 0.0158032 / -0.0158032 | -0.01467 / 0.01467 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00270806 / -0.00270806 | 0.00451469 / -0.00451469 | 0.0113153 / -0.0113153 | -0.00738318 / 0.00738318 | 0.0138142 / -0.0138142 | -0.00323775 / 0.00323775 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0.000100043 / -0.000100043 | 0.000125425 / -0.000125425 | 0.000302289 / -0.000302289 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.280907 / 0.280907 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.230028 / 0.230028 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.032175 / 0.032175 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.00989511 / -0.00989511 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.016888 / -0.016888 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.277215 / 0.277215 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.20781 / 0.20781 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0457132 / 0.0457132 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0119744 / -0.0119744 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0162772 / -0.0162772 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00692343 / 0.00692343 | 0.0169527 / -0.0169527 | 0.0868545 / -0.0868545 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.00939333 / -0.00939333 | 0.0102764 / -0.0102764 | -0.00351201 / 0.00351201 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2 / -0.2 |
 | gamma_stat_Wjets_VR_bin_0 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 | 0.023069 / -0.023069 |
