 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 |
 | AlphaS_Zjets | 0 / 0 | 0 / 0 | 0.0194177 / -0.0194203 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0 / 0 | 0.0587769 / -0.058801 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.19854 / -0.198807 |
 | gamma_stat_Signal_bin_0 | 0.00036863 / -0.00036863 | 0.0338056 / -0.0338056 | 0.0347452 / -0.0347452 | 0.0341065 / -0.0341065 | 0.0381157 / -0.0381157 | 0.0338277 / -0.0338277 | 0.0309838 / -0.0309838 | 0.0100886 / -0.0100886 |
 | gamma_stat_Signal_bin_1 | 0.000750547 / -0.000750547 | 0.0085543 / -0.0085543 | 0.00788035 / -0.00788035 | 0.00988519 / -0.00988519 | 0.00721146 / -0.00721146 | 0.00878325 / -0.00878325 | 0.00663673 / -0.00663673 | 0.0320863 / -0.0320863 |
 | gamma_stat_Signal_bin_2 | 0.00140187 / -0.00140187 | 0.00254394 / -0.00254394 | 0.0030128 / -0.0030128 | 0.00265676 / -0.00265676 | 0.00102017 / -0.00102017 | 0.00565068 / -0.00565068 | 0.00376612 / -0.00376612 | 0.00286929 / -0.00286929 |
 | gamma_stat_Signal_bin_3 | 0.00199924 / -0.00199924 | 0.00102878 / -0.00102878 | 0.00080203 / -0.00080203 | 0.000613105 / -0.000613105 | 0.000925043 / -0.000925043 | 2.31998e-08 / -2.31998e-08 | 0.000947206 / -0.000947206 | 8.60496e-06 / -8.60496e-06 |
 | gamma_stat_Signal_bin_4 | 0.00241159 / -0.00241159 | 0.000399667 / -0.000399667 | 0.000345118 / -0.000345118 | 0.000159636 / -0.000159636 | 0.000152269 / -0.000152269 | 1.89712e-08 / -1.89712e-08 | 0.000813633 / -0.000813633 | 3.08135e-05 / -3.08135e-05 |
 | gamma_stat_Signal_bin_5 | 0.00257648 / -0.00257648 | 0.000156918 / -0.000156918 | 0.000100899 / -0.000100899 | 0.000101748 / -0.000101748 | 8.88834e-09 / -8.88834e-09 | 1.77777e-08 / -1.77777e-08 | 0.000306442 / -0.000306442 | 2.87234e-05 / -2.87234e-05 |
 | gamma_stat_Signal_bin_6 | 0.00237187 / -0.00237187 | 9.60875e-05 / -9.60875e-05 | 7.85938e-05 / -7.85938e-05 | 5.00764e-05 / -5.00764e-05 | 0.000565702 / -0.000565702 | 1.8559e-08 / -1.8559e-08 | 4.2018e-07 / -4.2018e-07 | 1.14303e-07 / -1.14303e-07 |
 | gamma_stat_Signal_bin_7 | 0.00222966 / -0.00222966 | 6.92174e-05 / -6.92174e-05 | 0.000104422 / -0.000104422 | 2.85069e-05 / -2.85069e-05 | 0.000417871 / -0.000417871 | 2.03337e-08 / -2.03337e-08 | 4.60361e-07 / -4.60361e-07 | 5.80564e-06 / -5.80564e-06 |
 | gamma_stat_Signal_bin_8 | 0.00195298 / -0.00195298 | 9.99449e-05 / -9.99449e-05 | 0.000104433 / -0.000104433 | 0.000107298 / -0.000107298 | 1.15911e-08 / -1.15911e-08 | 2.31834e-08 / -2.31834e-08 | 5.24879e-07 / -5.24879e-07 | 1.2849e-07 / -1.2849e-07 |
 | gamma_stat_Signal_bin_9 | 0.00168463 / -0.00168463 | 1.92141e-05 / -1.92141e-05 | 1.63214e-05 / -1.63214e-05 | 8.20548e-05 / -8.20548e-05 | 1.35374e-08 / -1.35374e-08 | 2.70762e-08 / -2.70762e-08 | 6.13013e-07 / -6.13013e-07 | 1.92518e-07 / -1.92518e-07 |
 | gamma_stat_Signal_bin_10 | 0.00137344 / -0.00137344 | 0.000128665 / -0.000128665 | 9.75433e-05 / -9.75433e-05 | 4.10966e-05 / -4.10966e-05 | 1.57907e-08 / -1.57907e-08 | 3.15832e-08 / -3.15832e-08 | 7.15052e-07 / -7.15052e-07 | 3.49008e-08 / -3.49008e-08 |
 | gamma_stat_Signal_bin_11 | 0.00128213 / -0.00128213 | 0.00012216 / -0.00012216 | 9.99347e-05 / -9.99347e-05 | 1.64886e-05 / -1.64886e-05 | 1.84908e-08 / -1.84908e-08 | 3.69836e-08 / -3.69836e-08 | 8.37319e-07 / -8.37319e-07 | 3.11544e-08 / -3.11544e-08 |
 | gamma_stat_Signal_bin_12 | 0.00116059 / -0.00116059 | 2.4856e-05 / -2.4856e-05 | 1.72315e-05 / -1.72315e-05 | 2.9073e-05 / -2.9073e-05 | 2.10105e-08 / -2.10105e-08 | 4.20234e-08 / -4.20234e-08 | 9.51421e-07 / -9.51421e-07 | 1.43192e-07 / -1.43192e-07 |
 | gamma_stat_Signal_bin_13 | 0.00107987 / -0.00107987 | 7.39798e-05 / -7.39798e-05 | 2.07069e-05 / -2.07069e-05 | 3.04241e-05 / -3.04241e-05 | 2.37129e-08 / -2.37129e-08 | 4.74284e-08 / -4.74284e-08 | 1.07379e-06 / -1.07379e-06 | 0.000995498 / -0.000995498 |
 | gamma_stat_Signal_bin_14 | 0.000903955 / -0.000903955 | 1.28933e-05 / -1.28933e-05 | 5.02412e-05 / -5.02412e-05 | 4.24458e-05 / -4.24458e-05 | 2.72026e-08 / -2.72026e-08 | 5.44082e-08 / -5.44082e-08 | 1.23182e-06 / -1.23182e-06 | 1.85393e-07 / -1.85393e-07 |
 | gamma_stat_Signal_bin_15 | 0.000737852 / -0.000737852 | 3.22263e-05 / -3.22263e-05 | 5.79276e-05 / -5.79276e-05 | 0.000192078 / -0.000192078 | 3.11926e-08 / -3.11926e-08 | 6.23886e-08 / -6.23886e-08 | 0.000832405 / -0.000832405 | 2.12586e-07 / -2.12586e-07 |
 | gamma_stat_Signal_bin_16 | 0.000645704 / -0.000645704 | 0.000154206 / -0.000154206 | 8.81151e-05 / -8.81151e-05 | 1.76944e-08 / -1.76944e-08 | 3.23617e-08 / -3.23617e-08 | 6.47269e-08 / -6.47269e-08 | 0.00285513 / -0.00285513 | 2.20553e-07 / -2.20553e-07 |
 | gamma_stat_Signal_bin_17 | 0.000659858 / -0.000659858 | 6.14427e-05 / -6.14427e-05 | 3.56534e-05 / -3.56534e-05 | 0.000223147 / -0.000223147 | 3.71678e-08 / -3.71678e-08 | 7.43396e-08 / -7.43396e-08 | 1.68307e-06 / -1.68307e-06 | 2.53308e-07 / -2.53308e-07 |
 | gamma_stat_Signal_bin_18 | 0.00061008 / -0.00061008 | 7.06528e-05 / -7.06528e-05 | 0.000139575 / -0.000139575 | 0.000185982 / -0.000185982 | 3.98107e-08 / -3.98107e-08 | 7.96258e-08 / -7.96258e-08 | 1.80275e-06 / -1.80275e-06 | 2.7132e-07 / -2.7132e-07 |
 | gamma_stat_Signal_bin_19 | 0.000571886 / -0.000571886 | 3.53495e-05 / -3.53495e-05 | 1.96742e-06 / -1.96742e-06 | 2.38536e-08 / -2.38536e-08 | 4.36265e-08 / -4.36265e-08 | 8.72577e-08 / -8.72577e-08 | 1.97554e-06 / -1.97554e-06 | 2.97326e-07 / -2.97326e-07 |
 | #mu_{signal strength} | 0.0449142 / -0.0425382 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{W+jets} | 0 / 0 | 0.334174 / -0.334174 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{Z+jets} | 0 / 0 | 0 / 0 | 0.385339 / -0.385339 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
