 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.00354173 / -0.00354182 | 0.00211472 / -0.00211475 | 0.003931 / -0.00393112 | 0 / 0 | 0.00306339 / -0.00306346 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | -0.000688924 / 0.00068892 | -0.000242913 / 0.000242913 | -0.000112682 / 0.000112682 | 0 / 0 | -0.00510636 / 0.00510617 | 0 / 0 |
 | JET_NNJvtEfficiency | 0 / 0 | 0.0195733 / -0.019576 | 0.021892 / -0.0218954 | 0.0333375 / -0.0333455 | 0 / 0 | 0.0354978 / -0.0355069 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.00183073 / -0.00183076 | 0.00124039 / -0.00124041 | -0.000674906 / 0.000674903 | 0 / 0 | -0.00759692 / 0.00759648 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.00210521 / -0.00210524 | 0.000455576 / -0.000455577 | 0.000319527 / -0.000319528 | 0 / 0 | -0.00554642 / 0.00554619 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.00378395 / -0.00378405 | 0.0038752 / -0.0038753 | 0 / 0 | 0 / 0 | 0.00676412 / -0.00676444 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.00155391 / -0.00155392 | 5.12464e-05 / -5.12464e-05 | 0.0039125 / -0.00391262 | 0 / 0 | -0.000149716 / 0.000149716 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | 1.62773e-06 / -1.62773e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.399183 / 0.401342 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.265586 / 0.265803 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0585366 / 0.0585145 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0143466 / -0.014348 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.00420303 / -0.00420315 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | 0.00095897 / -0.000958977 | -0.0460794 / 0.0460628 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.00633762 / -0.00634334 | -0.0329545 / 0.0328007 | 0 / 0 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.19854 / -0.198807 |
 | gamma_stat_Zjets_VR_bin_0 | 0.00892214 / -0.00892214 | 0.00892214 / -0.00892214 | 0.00892214 / -0.00892214 | 0.00892214 / -0.00892214 | 0.00892214 / -0.00892214 | 0.00892214 / -0.00892214 | 0.00892214 / -0.00892214 |
 | #mu_{Z+jets} | 0 / 0 | 0.385339 / -0.385339 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
