 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_JERUnc_Noise_PreRec | 0.00148095 / -0.00148096 | -0.000211221 / 0.000211221 | -7.09016e-05 / 7.09015e-05 | 0.00540931 / -0.00540952 | 0.0580861 / -0.0581106 | 0.00178434 / -0.00178436 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.00286176 / -0.00286182 | 0.00136973 / -0.00136975 | 0.0014764 / -0.00147641 | 0.000581045 / -0.000581048 | 0.00344201 / -0.0034421 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.014582 / 0.0145804 | 0.00455668 / -0.00455683 | 0.0015699 / -0.00156992 | 0.00331047 / -0.00331055 | 0.00773337 / -0.0077338 | 0.00257247 / -0.00257252 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0227325 / -0.0227362 | 0.0177353 / -0.0177375 | 0.0205371 / -0.0205401 | 0.0270136 / -0.0270189 | 0.0233937 / -0.0233976 | 0.0329607 / -0.0329685 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0014455 / -0.00144551 | 0.000445279 / -0.00044528 | 0.00164959 / -0.00164961 | 0.000580963 / -0.000580965 | 0.00146589 / -0.00146591 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.016696 / 0.0166939 | 0.00185207 / -0.00185209 | 9.76637e-05 / -9.76637e-05 | 0.0010784 / -0.0010784 | 0.00354442 / -0.00354451 | -0.000705367 / 0.000705363 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.00383265 / -0.00383275 | 0.00284617 / -0.00284623 | 0.00332091 / -0.00332099 | 0.00886827 / -0.00886882 | 0.00413971 / -0.00413983 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.016687 / 0.0166848 | 0.000496826 / -0.000496828 | -0.000350451 / 0.00035045 | -0.000946914 / 0.000946907 | 0.00317264 / -0.00317272 | -0.0012369 / 0.00123688 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | -2.65385e-07 / 2.65385e-07 | -9.97831e-08 / 9.97831e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.52071 / 0.519893 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.506516 / 0.506523 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.135903 / 0.13578 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0496891 / -0.0497103 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.170725 / -0.171905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.31573 / 0.317065 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.222988 / 0.22314 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0368126 / 0.0368039 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0150248 / -0.0150263 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.00114901 / 0.001149 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.000837431 / 0.000837426 | 0.00490188 / -0.00490207 | -0.00654107 / 0.00654074 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | -0.000296444 / 0.000296431 | -0.00442022 / 0.00441745 | -0.0516705 / 0.0512932 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.19854 / -0.198807 |
 | gamma_stat_Zjets_CR_bin_0 | 0.00244218 / -0.00244218 | 0.00244218 / -0.00244218 | 0.00244218 / -0.00244218 | 0.00244218 / -0.00244218 | 0.00244218 / -0.00244218 | 0.00244218 / -0.00244218 | 0.00244218 / -0.00244218 |
 | #mu_{Z+jets} | 0 / 0 | 0.385339 / -0.385339 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
