 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_Pileup_PtTerm | 0.00835306 / -0.00835306 | 0.00971916 / -0.00971916 | 0.00493534 / -0.00493534 | 0.00669597 / -0.00669597 | 0.00799565 / -0.00799565 | 0.0106904 / -0.0106904 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00617126 / -0.00617126 | 0.00623782 / -0.00623782 | 0.00269678 / -0.00269678 | 0.000970583 / -0.000970583 | 0.00850798 / -0.00850798 | 0.00476472 / -0.00476472 | 0 / 0 |
 | JET_SingleParticle_HighPt | -3.20656e-07 / 3.20656e-07 | 4.84973e-07 / -4.84973e-07 | 1.15425e-06 / -1.15425e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.248649 / 0.248649 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.190635 / 0.190635 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0228421 / 0.0228421 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.011504 / -0.011504 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | -0.00232881 / 0.00232881 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.241229 / 0.241229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.190238 / 0.190238 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0239939 / 0.0239939 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0137439 / -0.0137439 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.000839611 / 0.000839611 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.000404661 / 0.000404661 | 0.0013669 / -0.0013669 | -0.00259157 / 0.00259157 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.000733751 / -0.000733751 | 0.000979213 / -0.000979213 | -0.000275477 / 0.000275477 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2 / -0.2 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00408261 / -0.00408261 | 0.00408261 / -0.00408261 | 0.00408261 / -0.00408261 | 0.00408261 / -0.00408261 | 0.00408261 / -0.00408261 | 0.00408261 / -0.00408261 | 0.00408261 / -0.00408261 |
