 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_JER_EffectiveNP_12restTerm | 0 / 0 | 7.87186e-05 / -7.87186e-05 | 0.00118122 / -0.00118122 | 0.00211949 / -0.00211949 | 0.0172706 / -0.0172706 | -0.000580343 / 0.000580343 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.00149172 / -0.00149172 | -0.000212756 / 0.000212756 | -7.14168e-05 / 7.14168e-05 | 0.00544872 / -0.00544872 | 0.0585203 / -0.0585203 | 0.00179732 / -0.00179732 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.00288335 / -0.00288335 | 0.00138006 / -0.00138006 | 0.00148753 / -0.00148753 | 0.000585424 / -0.000585424 | 0.00346799 / -0.00346799 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0146867 / 0.0146867 | 0.00458973 / -0.00458973 | 0.00158127 / -0.00158127 | 0.00333446 / -0.00333446 | 0.00778954 / -0.00778954 | 0.00259111 / -0.00259111 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0228978 / -0.0228978 | 0.017864 / -0.017864 | 0.0206863 / -0.0206863 | 0.0272105 / -0.0272105 | 0.0235639 / -0.0235639 | 0.0332016 / -0.0332016 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0014566 / -0.0014566 | 0.000448698 / -0.000448698 | 0.00166226 / -0.00166226 | 0.000585424 / -0.000585424 | 0.00147716 / -0.00147716 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.0168178 / 0.0168178 | 0.0018657 / -0.0018657 | 9.83822e-05 / -9.83822e-05 | 0.00108633 / -0.00108633 | 0.00357054 / -0.00357054 | -0.000710554 / 0.000710554 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.00385945 / -0.00385945 | 0.00286606 / -0.00286606 | 0.00334413 / -0.00334413 | 0.00893044 / -0.00893044 | 0.00416867 / -0.00416867 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.0168178 / 0.0168178 | 0.000500754 / -0.000500754 | -0.000353221 / 0.000353221 | -0.000954397 / 0.000954397 | 0.00319776 / -0.00319776 | -0.00124667 / 0.00124667 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | -3.65e-07 / 3.65e-07 | -1.37237e-07 / 1.37237e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.521727 / 0.521727 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.50651 / 0.50651 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.13674 / 0.13674 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0501245 / -0.0501245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.178151 / -0.178151 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.312319 / 0.312319 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.222393 / 0.222393 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0370454 / 0.0370454 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0151269 / -0.0151269 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.00115701 / 0.00115701 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.000843975 / 0.000843975 | 0.0049403 / -0.0049403 | -0.00659204 / 0.00659204 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | -0.000340272 / 0.000340272 | -0.00507225 / 0.00507225 | -0.0590896 / 0.0590896 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2 / -0.2 |
 | gamma_stat_Zjets_CR_bin_0 | 0.00244243 / -0.00244243 | 0.00244243 / -0.00244243 | 0.00244243 / -0.00244243 | 0.00244243 / -0.00244243 | 0.00244243 / -0.00244243 | 0.00244243 / -0.00244243 | 0.00244243 / -0.00244243 |
